Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62dfa034d5fa99f7e8496889,596e6e5cd7919800014b49b8,APPROVED,2022-07-26T08:05:12.070000Z,2022-07-26T08:15:15.822000Z,2022-07-27T11:22:20.467000Z,,604,MBIMZO1R,1672,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62dfa035375400761b7759d2,5bd1ebd75c90120001d0f088,APPROVED,2022-07-26T08:07:04.337000Z,2022-07-26T08:13:16.512000Z,2022-07-27T11:22:14.222000Z,,373,MBIMZO1R,1542,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa03562b1599389043617,5f91a0c5075eec02af730999,APPROVED,2022-07-26T08:05:09.345000Z,2022-07-26T08:15:22.020000Z,2022-07-27T11:22:20.830000Z,,613,MBIMZO1R,1152,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa035771cb96bcca8f695,5c2a81fd10677f0001dc57af,APPROVED,2022-07-26T08:05:13.332000Z,2022-07-26T08:13:54.005000Z,2022-07-27T11:22:20.329000Z,,521,MBIMZO1R,901,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa0357bc6251c67f8d86a,57b4aaf1cda70d0001534838,APPROVED,2022-07-26T08:05:15.617000Z,2022-07-26T08:12:42.568000Z,2022-07-27T11:22:19.884000Z,,447,MBIMZO1R,1979,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa0367bc6251c67f8d86d,62b47e0c29438e8654ef9938,APPROVED,2022-07-26T08:06:36.116000Z,2022-07-26T08:12:48.408000Z,2022-07-27T11:22:14.356000Z,,373,MBIMZO1R,72,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62dfa036bb54aac262876bd0,62a7970f8387f3fcc95b106b,APPROVED,2022-07-26T08:05:19.929000Z,2022-07-26T08:15:31.932000Z,2022-07-27T11:22:18.861000Z,,613,MBIMZO1R,591,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa036ce86fe741c0fa1b7,60f5df9db9380d875c320307,APPROVED,2022-07-26T08:05:15.135000Z,2022-07-26T08:12:27.339000Z,2022-07-27T11:22:20.024000Z,,433,MBIMZO1R,1225,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa03759f31f6ec8cb3fb1,5e2872fffcdb020467d12799,APPROVED,2022-07-26T08:05:16.773000Z,2022-07-26T08:14:12.172000Z,2022-07-27T11:22:19.598000Z,,536,MBIMZO1R,1378,76,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62dfa03b0e75d0fa32babed2,62d6c68cb6bc4fbb6fcab2ca,APPROVED,2022-07-26T08:05:59.611000Z,2022-07-26T08:19:19.787000Z,2022-07-27T11:22:14.512000Z,,801,MBIMZO1R,206,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62dfa03b26d6b8c146d8d700,5dcfaad2dd9a740c2493fc28,APPROVED,2022-07-26T08:05:15.829000Z,2022-07-26T08:13:33.383000Z,2022-07-27T11:22:19.741000Z,,498,MBIMZO1R,2140,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa03b9ec7b8fe6b2a9235,5ec2c25677e7ea0c69b51567,APPROVED,2022-07-26T08:05:18.647000Z,2022-07-26T08:11:18.793000Z,2022-07-27T11:22:19.321000Z,,361,MBIMZO1R,1411,34,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa03cd1373bdf2b79469a,5b5523d6d8348500012cfccf,APPROVED,2022-07-26T08:05:17.350000Z,2022-07-26T08:12:09.608000Z,2022-07-27T11:22:19.468000Z,,413,MBIMZO1R,887,28,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
62dfa03cd955d0bae8381e92,62c6e98485fbef0be2797e9d,APPROVED,2022-07-26T08:05:22.366000Z,2022-07-26T08:27:54.640000Z,2022-07-27T11:22:18.639000Z,,1353,MBIMZO1R,205,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
