A_YEAR, Q46 (Happiness),"Q260 (Gender, 1 Male, 2 Female)",Q262 (Age),"Q288 (Income Scale, 1 - Low, 10 - High)"
2018,2,2,72,5
2018,2,2,70,4
2018,1,2,19,3
2018,1,2,44,8
2018,2,1,53,6
2018,1,2,43,8
2018,2,1,28,-2
2018,2,2,54,7
2018,2,2,41,-2
2018,1,2,32,-2
2018,1,2,58,-2
2018,2,1,56,-2
2018,2,1,58,7
2018,2,1,46,6
2018,2,2,52,7
2018,2,1,56,5
2018,2,1,42,6
2018,2,2,31,-2
2018,2,2,27,6
2018,2,2,66,7
2018,1,1,21,-2
2018,2,1,35,5
2018,2,2,57,6
2018,4,1,55,4
2018,3,1,62,6
2018,2,1,56,6
2018,2,2,56,3
2018,2,1,39,7
2018,1,1,43,6
2018,1,1,69,-2
2018,1,1,63,-2
2018,1,1,26,-2
2018,2,1,40,-2
2018,2,1,23,-2
2018,2,2,56,3
2018,1,2,70,-2
2018,2,1,60,-2
2018,1,1,70,7
2017,2,1,50,5
2017,2,2,34,3
2017,-1,1,35,5
2017,1,2,71,7
2017,1,2,37,4
2017,3,2,58,4
2017,3,1,32,5
2017,3,2,34,4
2017,2,1,65,5
2017,1,1,27,5
2017,2,2,40,4
2017,2,1,44,3
2017,2,2,21,2
2017,2,1,21,4
2017,3,2,71,6
2017,2,1,33,5
2017,2,2,61,5
2017,2,1,41,4
2017,2,1,64,5
2017,1,2,30,6
2017,2,2,69,5
2017,1,1,87,5
2017,1,2,31,3
2017,3,2,56,1
2017,2,1,51,6
2017,1,1,31,6
2017,2,2,33,5
2017,1,1,55,9
2017,2,2,42,6
2017,1,2,52,9
2017,1,1,27,3
2017,-1,2,21,5
2017,2,1,21,7
2017,3,2,43,4
2017,2,1,47,5
2017,2,2,70,4
2017,1,2,35,6
2017,1,1,24,7
2017,2,2,19,7
2017,2,1,35,5
2017,1,1,61,-2
2017,2,1,81,1
2017,3,2,57,4
2017,2,2,72,4
2017,2,2,21,5
2017,1,1,27,6
2017,2,2,48,3
