,Code,Year,Population (England),Annual CO₂ emissions (per capita),Total CO2 emissions,Relative per capita CO2 emissions,Relative total CO2 emissions
157,GBR,1952-01-01,41367000,10.472578,433219134.126,1040.2741276985216,7308.597119650941
158,GBR,1953-01-01,41515000,10.649034,442094646.51,1057.8020574477364,7458.330912863921
159,GBR,1954-01-01,41673000,10.849724,452140548.25200003,1077.7372266761552,7627.809688735634
160,GBR,1955-01-01,41838000,11.270068,471517104.984,1119.4913189286365,7954.70071354217
161,GBR,1956-01-01,42059000,11.168912,469753269.808,1109.4431751323839,7924.944039214153
162,GBR,1957-01-01,42296000,11.042717,467062758.232,1096.9078286737645,7879.553926899718
163,GBR,1958-01-01,42494000,10.706449,454959843.806,1063.5052700704362,7675.372443337826
164,GBR,1959-01-01,42763000,10.463034,447430722.94200003,1039.326092145599,7548.352866579867
165,GBR,1960-01-01,43146000,11.115082,479571327.97199994,1104.0960718409106,8090.578993826074
166,GBR,1961-01-01,43566000,11.135089,485111287.374,1106.0834301086518,8184.040542818193
167,GBR,1962-01-01,44006000,11.148759,490612288.554,1107.441314225212,8276.844849489586
168,GBR,1963-01-01,44311000,11.276441,499670377.151,1120.1243690731017,8429.658783627414
169,GBR,1964-01-01,44648000,11.285723,503884960.504,1121.0463793415663,8500.760656393046
170,GBR,1965-01-01,44979000,11.471816,515990811.864,1139.5315826263547,8704.991687321808
171,GBR,1966-01-01,45265000,11.328242,512772874.13,1125.2699254097467,8650.703664006825
172,GBR,1967-01-01,45562000,10.788927,491565091.974,1071.6980693510257,8292.919061781833
173,GBR,1968-01-01,45791000,10.99323,503390994.93,1091.9921292387814,8492.427240144878
174,GBR,1969-01-01,46014000,11.338446,521727254.24399996,1126.283520839548,8801.767990474007
175,GBR,1970-01-01,46167000,11.726424,541373816.808,1164.8225964631638,9133.214132288533
176,GBR,1971-01-01,46412000,11.818837,548535862.844,1174.0022705570693,9254.040995430487
177,GBR,1972-01-01,46572000,11.560065,538375347.18,1148.2976334970444,9082.628632341091
178,GBR,1973-01-01,46686000,11.743219,548243922.234,1166.4908966634293,9249.115829080989
179,GBR,1974-01-01,46683000,10.975319,512360816.87700003,1090.212973246703,8643.75207711886
180,GBR,1975-01-01,46674000,10.72118,500400355.32,1064.968546655736,8441.973836041072
181,GBR,1976-01-01,46660000,10.63796,496367213.59999996,1056.7020421802315,8373.932963337229
182,GBR,1977-01-01,46640000,10.7451935,501155824.84,1067.353883176074,8454.718938745262
183,GBR,1978-01-01,46638000,10.752227,501462362.826,1068.0525428639912,8459.89036924097
184,GBR,1979-01-01,46698000,11.454919,534921807.462,1137.8531504451169,9024.365900048586
185,GBR,1980-01-01,46787000,10.280013,480970968.231,1021.1460402877366,8114.191539901889
186,GBR,1981-01-01,46821000,9.939641,465383931.261,987.3358184499997,7851.231378336861
187,GBR,1982-01-01,46777000,9.711942,454295510.934,964.7177602600464,7664.164855924624
188,GBR,1983-01-01,46814000,9.654327,451957664.17800003,958.9946810079892,7624.724354060463
189,GBR,1984-01-01,46912000,9.353447,438788905.664,929.1073238031125,7402.5616124747985
190,GBR,1985-01-01,47057000,9.879896,464918266.072,981.4011595952891,7843.375402016903
191,GBR,1986-01-01,47188000,10.023534,472990522.39199996,995.669174133291,7979.557912534262
192,GBR,1987-01-01,47300000,10.059909,475833695.7,999.2824173476201,8027.523495336692
193,GBR,1988-01-01,47412000,10.013473,474758781.876,994.6697833434802,8009.389226881978
194,GBR,1989-01-01,47553000,10.1894865,484540651.53449994,1012.1537581752422,8174.413665507353
195,GBR,1990-01-01,47699000,10.521594,501869512.20600003,1045.1430412213688,8466.759158155242
